"0.ogg","Startup sound"
"83.ogg","Продовжую побудову карти."
"84.ogg","Карту створено."
"85.ogg","Місцезнаходження визначено. Продовжую побудову карти."
"86.ogg","Помилка визначення місцезнаходження. Повторна спроба створення карти."
"87.ogg","Низький заряд акумулятора. Повертаюсь на док-станцію."
"88.ogg","Вмикаю режим дистанційного керування."
"89.ogg","Продовжую заряджання."
"90.ogg","Відновлюю процес прибирання."
"91.ogg","Бак з чистою водою не встановлено. Будь ласка, встановіть його перед тим, як робот продовжить роботу."
"92.ogg","Бак для використаної води не встановлено. Будь ласка, встановіть його перед тим, як робот продовжить роботу."
"93.ogg","У баку з чистою водою недостатньо води. Будь ласка, наповніть його перед тим, як робот продовжить роботу."
"94.ogg","Бак для використаної води заповнений. Будь ласка, вилийте забруднену воду перед тим, як робот продовжить роботу."
"95.ogg","Платформу для очищення мопа не встановлено. Робот не може повернутися на док-станцію."
"96.ogg","Платформа для очищення мопа переповнена. Будь ласка, перевірте чи не заблокований вихід води."
"97.ogg","Мішок для збору пилу не встановлено. Будь ласка, встановіть його перед тим, як робот продовжить роботу."
"98.ogg","Мішок для збору пилу заповнено. Будь ласка, спорожніть його."
"99.ogg","Верхня кришка відсіку для пилу відкрита. Будь ласка, закрийте її перед тим, як робот продовжить свою роботу."
"100.ogg","Вентиляційний канал відсіку для пилу заблоковано. Будь ласка, перевірте його."
"101.ogg","Верхню кришку бази автоочистки не закрито або мішок для збору пилу не встановлено. Будь ласка, закрийте верхню кришку або встановіть мішок для збору пилу."
"102.ogg","Мішок для збору пилу заповнено або вентиляційний канал заблоковано. Будь ласка, замініть мішок на новий або своєчасно очистіть вентиляційний канал."
"103.ogg","Встановлено платформу для очищення мопа. Робот відновлює роботу."
"104.ogg","Будь ласка, переконайтеся, що платформа для очищення мопа встановлена, і застібки на обох сторонах міцно закріплені."
"105.ogg","Починаю прибирання."
"106.ogg","Розпочинаю очищення накладок для мопа."
"107.ogg","Розпочинаю віджимання накладок для мопа."
"108.ogg","Помилка рівня води платформи для очищення мопа. Будь ласка, очистіть її."
"109.ogg","Помилка бака для використаної води. Переконайтеся, що він правильно встановлений та пустий."
"110.ogg","Розпочинаю автоматичне спорожнення."
"111.ogg","Мопи не встановлені. Будь ласка, встановіть їх для продовження роботи."
"112.ogg","Перед використанням, поставте робота на базу для самоочищення."
"113.ogg","Завдання виконано. Будь ласка, вчасно спорожняйте бак для використаної води."
"114.ogg","Мопи встановлено."
"115.ogg","Мопи видалено".
"116.ogg","Блокування від дітей увімкнено. Кнопки заблоковані."
"117.ogg","Блокування від дітей вимкнено. Кнопки розблоковані."
"118.ogg","Кнопки заблоковані. Натисніть і утримуйте кнопку на станції, щоб розблокувати."
"119.ogg","Кнопки заблоковано."
"120.ogg","Кнопки розблоковано."
"121.ogg","Робот і телефон підключені. Будь ласка, поверніться до додатка Fantic та зачекайте на завершення підключення до мережі."
"122.ogg","Триває визначення місцезнаходження. Зачекайте, будь ласка."
"126.ogg","Починаю прибирання."
"127.ogg","Починаю точкове сухе прибирання."
"128.ogg","Починаю точкове вологе прибирання."
"129.ogg","Починаю планове сухе прибирання."
"130.ogg","Починаю планове вологе прибирання."
"131.ogg","Починаю точкове сухе прибирання."
"132.ogg","Починаю точкове вологе прибирання."
"133.ogg","Починаю сухе прибирання вибраних кімнат."
"134.ogg","Починаю вологе прибирання вибраних кімнат."
"135.ogg","Починаю зональне сухе прибирання."
"136.ogg","Починаю зональне вологе прибирання."
"137.ogg","Продовжую сухе прибирання."
"138.ogg","Продовжую вологе прибирання."
"139.ogg","Продовжую повернення на станцію для самоочищення."
"140.ogg","Виявлено нове оточення. Повертаюсь на станцію для самоочищення."
"141.ogg","Помилка мопа. Будь ласка, перевірте та очистіть."
"142.ogg","Термін служби мопа минув. Будь ласка, вчасно замініть його."
"143.ogg","Сухе прибирання завершено."
"144.ogg","Вологе прибирання завершено."
"145.ogg","Місцезнаходження визначено. Продовжую сухе прибирання."
"146.ogg","Місцезнаходження визначено. Продовжую вологе прибирання."
"148.ogg","Повертаюсь на станцію для самоочищення."
"149.ogg","Не вдається дістатися вказаної зони. Спробуйте прибрати перешкоди на шляху."
"150.ogg","Не можливо дістатися до вказаної області. Спробуйте видалити обмежувальні зони на шляху."
"151.ogg","Маршрут заблокований. Спробуйте прибрати перешкоди поблизу вашого робота."
"152.ogg","Шлях заблокований. Спробуйте видалити обмежувальні зони або перемістіть вашого робота з цієї області."
"153.ogg","Робот виявлено всередині забороненої зони. Перемістіть робот за межі цієї зони."
"154.ogg","Занадто часті операції. Будь ласка, повторіть спробу."
"155.ogg","Повертаюся на станцію для зарядки та очищення мопа."
"156.ogg","Підставку для мопа не встановлено."
"157.ogg","Я вже на станції для зарядки та очищення мопа."
"162.ogg","Увімкнено камеру."
"163.ogg","Відеомоніторинг."
"164.ogg","Завдання завершено."
"166.ogg","Будь ласка, видаліть сторонні об'єкти з накладок для мопа."
"169.ogg","Накладки для мопа просушені."
"170.ogg","Всі кнопки заблоковані. Щоб розблокувати, натисніть і утримуйте кнопки на базовій станції."
"171.ogg","Функція розпізнавання на базі штучного інтелекту включена."
"172.ogg","Функція розпізнавання на базі штучного інтелекту виключена."
"173.ogg","Будь ласка, замініть срібний іонізатор води."
"177.ogg","Рушаю з базової станції."
"179.ogg","Накладки для мопа очищено. Бак для чистої води порожній. Будь ласка, наповніть його та спорожніть бак з використаною водою."
"181.ogg","Недостатньо води. Будь ласка, наповніть бак для чистої води."
"186.ogg","Будь ласка, перевірте бак для чистої води."
"187.ogg","Це займе близько 5-10 хвилин."
"188.ogg","Розпочалось автоматичне стикування."
"200.ogg","Shutdown sound"
"244.ogg","Ємність з засобом для чищення встановлено."
"257.ogg","Відеомоніторинг виключено."
"258.ogg","Місцезнаходження визначено. Рух розпочато."
"259.ogg","Місцезнаходження визначено. Рухаюсь до вказаної локації."
"260.ogg","Місцезнаходження визначено. Продовжую рух."
"261.ogg","Місцезнаходження визначено. Продовжую рух до вказаної локації."
"262.ogg","Збій визначення місцезнаходження."
"263.ogg","Будь ласка, видаліть сторонні об'єкти з основної щітки. Змініть положення робота та перезапустіть його."
"264.ogg","Завдання виконано. Будь ласка, очистіть контейнер для пилу та платформу для чищення мопа."
"266.ogg","Будь ласка, замініть засіб для чищення."
"267.ogg","Будь ласка, очистіть датчики."
"274.ogg","Ding sound"
"280.ogg","Починаю користувацьке прибирання."
"281.ogg","Робот здійснює автоочищення. Будь ласка, повторіть спробу пізніше."
"282.ogg","Робот виконує очищення накладок для мопа. Будь ласка, повторіть спробу пізніше."
"283.ogg","Робот не знаходиться на базовій станції. Будь ласка, повторіть спробу пізніше."
"293.ogg","Виклики активовано."
"294.ogg","Виклики деактивовано."
"295.ogg","Недостатньо води. Перевірте вміст бака з чистою водою."
"296.ogg","Помилка бака з відпрацьованою водою. Перевірте заповненість бака."
"297.ogg","Ємність з засобом для чищення встановлено. Якщо раніше засіб не використовувався, виконайте налаштування у додатку."
"298.ogg","Базова станція починає самоочищатися. Будь ласка, очистіть її внутрішню частину щіткою або тканиною. Через три хвилини вода буде зливатись з пральної дошки."
"299.ogg","Ємність із засобом для чищення і модуль для автонаповнення встановлено."
"318.ogg","Накладки для мопа очищено."
"329.ogg","Почніть самодіагностику. Будь ласка, не вилучайте мене з базової станції."
"330.ogg","Будь ласка, повторіть спробу після завершення самодіагностики."
"331.ogg","Помилок не виявлено. Ви можете з упевненістю користуватися пристроєм."
"332.ogg","Знайдено одну помилку. Будь ласка, перейдіть в додаток, щоб побачити більш детальну інформацію."
"360.ogg","Зливаю воду з резервуару."
